cod, qtd, vlr
1735, 2.00, 11.25
1821, 1.00, 16.00
1823, 7.00, 9.25
1849, 7.00, 9.25
1824, 1.00, 10.36
1825, 1.00, 7.35
1154, 1.00, 52.32
1154, 4.00, 52.32
1846, 2.00, 42.36
1852, 4.00, 16.25
1815, 1.00, 14.90
1914, 3.00, 5.80
1560, 1.00, 15.00
1502, 4.00, 8.58
1218, 3.00, 15.00
1856, 5.00, 19.25
135, 10.00, 7.00
1157, 7.00, 2.00
1860, 3.00, 30.00
1863, 3.00, 30.00
1868, 1.00, 32.65
1870, 1.00, 72.35
1871, 1.00, 72.35
1678, 7.00, 295.00
1773, 2.00, 295.00
1776, 4.00, 24.96
1942, 8.00, 7.28
1873, 2.00, 17.25
1778, 1.00, 17.25
1875, 2.00, 71.65
1876, 2.00, 71.65
1877, 1.00, 71.65
1878, 1.00, 71.65
1167, 2.00, 40.26
1169, 1.00, 49.35
1885, 1.00, 51.97
1891, 2.00, 29.00
1886, 2.00, 29.00
1887, 2.00, 29.00
1888, 2.00, 29.00
1889, 2.00, 29.00
1840, 5.00, 2.59
1520, 3.00, 19.58
1520, 6.00, 19.58
1892, 2.00, 29.00
1521, 3.00, 19.58
1894, 4.00, 19.58
1175, 4.00, 19.58
1752, 3.00, 2.20
1842, 8.00, 2.26
1525, 1.00, 19.58
1897, 1.00, 75.39
1755, 1.00, 75.90
1756, 1.00, 75.39
1758, 1.00, 75.39
1899, 15.00, 7.85
1943, 15.00, 7.85
1843, 3.00, 92.35
1882, 2.00, 10.21
1902, 2.00, 10.21
1883, 2.00, 10.21
1881, 2.00, 18.47
1901, 2.00, 10.21
1844, 1.00, 12.36
1931, 2.00, 13.99
1932, 2.00, 13.99
1933, 2.00, 13.99
1934, 2.00, 13.99
1935, 2.00, 13.99
1904, 1.00, 62.37
1905, 1.00, 62.37
